t,X,Y
0,30.25019609,29.93381831
1,38.52861979,24.58359271
2,48.90547401,32.46173966
3,53.77106566,31.04302339
4,64.35545696,32.12191745
5,75.23962405,35.28225321
6,78.44491902,51.04654536
7,78.74469481,56.8201785
8,68.50619865,66.20154961
9,50.24293522,70.35632597
10,40.28115517,77.26315886
11,32.41780564,72.88424732
12,25.49990283,74.19446105
13,19.38908867,63.66389374
14,19.73498382,57.50418533
15,13.90088578,55.16040804
16,15.56118245,45.78622141
17,14.82327282,41.59232208
18,22.52520462,34.55386011
19,19.80416284,28.76417611
20,27.09102047,29.28808798
21,32.85593948,26.43552712
22,37.95212789,26.89005941
23,52.35221841,26.30389804
24,61.63853582,31.52244017
